% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=8, Thu Sep 29 11:03:24 2022, <python>{}</python>
1 20 0.19749605513452057 1.0000499012450257 1.0126500129699707 1.0126500129699707e+00 1.0183371305465698 1.0224772691726685   
2 40 0.19524432660083246 1.0000499012450257 0.9942899346351624 9.9428993463516235e-01 0.9982147216796875 1.0057904720306396   
3 60 0.1931851350572543 1.0000499012450257 0.9593937397003174 9.5939373970031738e-01 0.9615355134010315 0.9646365642547607   
4 80 0.1912905543666439 1.0000499012450257 0.9401933550834656 9.4019335508346558e-01 0.9421340823173523 0.9449623227119446   
5 100 0.18953629532902763 1.0000499012450257 0.9380330443382263 9.3803304433822632e-01 0.941192626953125 0.9442014694213867   
6 120 0.1878621761750731 1.0051505196640098 0.9373947978019714 9.3739479780197144e-01 0.9397453665733337 0.9417307376861572   
7 140 0.1863202568060852 1.0051505196640098 0.9359709620475769 9.3597096204757690e-01 0.9383611679077148 0.9407621026039124   
8 160 0.1848545118979212 1.0051505196640098 0.9345349669456482 9.3453496694564819e-01 0.9373218417167664 0.9397228360176086   
9 180 0.18347399718234772 1.0051505196640098 0.9339591860771179 9.3395918607711792e-01 0.9363550543785095 0.938424825668335   
10 200 0.1821556805887382 1.0051505196640098 0.8982589840888977 8.9825898408889771e-01 0.9018426537513733 0.9087486863136292   
11 220 0.180916969324584 1.0064199572023695 0.8978001475334167 8.9780014753341675e-01 0.9001609683036804 0.9037477970123291   
12 240 0.1797342836976868 1.0064199572023695 0.8945971131324768 8.9459711313247681e-01 0.8984705805778503 0.9008925557136536   
13 260 0.1786300707469841 1.0064199572023695 0.8945971131324768 8.9581274986267090e-01 0.8971939086914062 0.9006733298301697   
14 280 0.17756103116550717 1.0064199572023695 0.8939321637153625 8.9393216371536255e-01 0.8969116806983948 0.9005902409553528   
15 300 0.17656923542200006 1.0064199572023695 0.892925500869751 8.9292550086975098e-01 0.8951510787010193 0.8982231616973877   
16 320 0.1756238942959195 1.008253186643886 0.8915964961051941 8.9159649610519409e-01 0.8946492671966553 0.8985245823860168   
